Temperature (K)	Pressure (atm)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
298.00	1710.0	24.510	0.040800	6.4033	13.473	35.105	33.185	46.996	1632.9	-0.099888	71.191	0.18480	supercritical
298.00	1725.0	24.560	0.040717	6.3950	13.512	35.029	33.210	46.985	1639.1	-0.10004	71.601	0.18571	supercritical
298.00	1740.0	24.610	0.040634	6.3868	13.551	34.953	33.235	46.973	1645.2	-0.10018	72.010	0.18661	supercritical
298.00	1755.0	24.659	0.040553	6.3787	13.590	34.877	33.260	46.962	1651.3	-0.10032	72.420	0.18751	supercritical
298.00	1770.0	24.708	0.040473	6.3707	13.629	34.802	33.285	46.952	1657.3	-0.10045	72.829	0.18841	supercritical
298.00	1785.0	24.756	0.040394	6.3629	13.669	34.728	33.310	46.942	1663.4	-0.10058	73.239	0.18931	supercritical
298.00	1800.0	24.804	0.040316	6.3551	13.708	34.655	33.335	46.932	1669.4	-0.10071	73.648	0.19021	supercritical
298.00	1815.0	24.852	0.040238	6.3475	13.747	34.581	33.360	46.922	1675.3	-0.10083	74.057	0.19110	supercritical
298.00	1830.0	24.899	0.040162	6.3399	13.787	34.509	33.384	46.912	1681.2	-0.10095	74.466	0.19199	supercritical
298.00	1845.0	24.946	0.040086	6.3325	13.826	34.437	33.409	46.903	1687.1	-0.10107	74.875	0.19288	supercritical
298.00	1860.0	24.993	0.040012	6.3252	13.866	34.365	33.433	46.894	1692.9	-0.10118	75.284	0.19377	supercritical
298.00	1875.0	25.039	0.039938	6.3179	13.905	34.294	33.457	46.886	1698.8	-0.10129	75.692	0.19466	supercritical
298.00	1890.0	25.085	0.039865	6.3108	13.945	34.223	33.481	46.877	1704.5	-0.10139	76.101	0.19555	supercritical
298.00	1905.0	25.130	0.039793	6.3038	13.985	34.153	33.505	46.869	1710.3	-0.10149	76.510	0.19643	supercritical
298.00	1920.0	25.175	0.039721	6.2968	14.024	34.083	33.529	46.862	1716.0	-0.10159	76.919	0.19731	supercritical
298.00	1935.0	25.220	0.039651	6.2900	14.064	34.014	33.553	46.854	1721.7	-0.10169	77.327	0.19819	supercritical
298.00	1950.0	25.265	0.039581	6.2832	14.104	33.945	33.576	46.847	1727.3	-0.10178	77.736	0.19907	supercritical
298.00	1965.0	25.309	0.039512	6.2765	14.144	33.877	33.600	46.839	1732.9	-0.10187	78.145	0.19995	supercritical
298.00	1980.0	25.353	0.039444	6.2700	14.183	33.809	33.623	46.832	1738.5	-0.10196	undefined	undefined	supercritical
298.00	1995.0	25.396	0.039376	6.2635	14.223	33.742	33.647	46.826	1744.1	-0.10204	undefined	undefined	supercritical
298.00	2010.0	25.439	0.039309	6.2571	14.263	33.675	33.670	46.819	1749.6	-0.10212	undefined	undefined	supercritical
298.00	2025.0	25.482	0.039243	6.2508	14.303	33.608	33.693	46.813	1755.1	-0.10220	undefined	undefined	supercritical
298.00	2040.0	25.525	0.039178	6.2445	14.343	33.542	33.716	46.807	1760.5	-0.10228	undefined	undefined	supercritical
298.00	2055.0	25.567	0.039113	6.2384	14.383	33.476	33.739	46.801	1766.0	-0.10235	undefined	undefined	supercritical
298.00	2070.0	25.609	0.039049	6.2323	14.423	33.411	33.762	46.795	1771.4	-0.10242	undefined	undefined	supercritical
298.00	2085.0	25.651	0.038985	6.2263	14.462	33.346	33.784	46.790	1776.7	-0.10249	undefined	undefined	supercritical
298.00	2100.0	25.692	0.038922	6.2204	14.502	33.281	33.807	46.784	1782.1	-0.10256	undefined	undefined	supercritical
298.00	2115.0	25.733	0.038860	6.2146	14.542	33.217	33.830	46.779	1787.4	-0.10262	undefined	undefined	supercritical
298.00	2130.0	25.774	0.038799	6.2089	14.582	33.153	33.852	46.774	1792.7	-0.10269	undefined	undefined	supercritical
298.00	2145.0	25.815	0.038738	6.2032	14.622	33.090	33.874	46.770	1798.0	-0.10275	undefined	undefined	supercritical
298.00	2160.0	25.855	0.038677	6.1976	14.663	33.027	33.897	46.765	1803.2	-0.10280	undefined	undefined	supercritical
298.00	2175.0	25.895	0.038617	6.1921	14.703	32.964	33.919	46.760	1808.4	-0.10286	undefined	undefined	supercritical
298.00	2190.0	25.935	0.038558	6.1866	14.743	32.902	33.941	46.756	1813.6	-0.10291	undefined	undefined	supercritical
298.00	2205.0	25.975	0.038499	6.1812	14.783	32.840	33.963	46.752	1818.8	-0.10297	undefined	undefined	supercritical
